"Date","Plaza ID","Direction","# Vehicles - E-ZPass","# Vehicles - VToll"
"06/14/2017","1","I","33,976","5,194"
"06/14/2017","1","O","37,762","5,838"
"06/13/2017","1","I","31,774","5,000"
"06/13/2017","1","O","36,962","5,771"
"06/12/2017","1","I","32,025","5,575"
"06/12/2017","1","O","34,713","5,987"
"06/11/2017","1","I","30,644","8,307"
"06/11/2017","1","O","31,283","8,053"
"06/10/2017","1","I","32,163","8,075"
"06/10/2017","1","O","33,980","8,655"
"06/09/2017","1","I","34,285","5,844"
"06/09/2017","1","O","35,902","6,336"
"06/08/2017","1","I","32,430","5,486"
"06/08/2017","1","O","36,605","5,912"
"06/07/2017","1","I","33,963","5,442"
"06/07/2017","1","O","38,346","6,104"
"06/06/2017","1","I","33,035","5,278"
"06/06/2017","1","O","36,294","5,809"
"06/05/2017","1","I","31,048","5,560"
"06/05/2017","1","O","36,214","6,086"
"06/04/2017","1","I","28,263","7,609"
"06/04/2017","1","O","33,161","8,135"
"06/03/2017","1","I","30,773","7,534"
"06/03/2017","1","O","33,818","8,418"
"06/02/2017","1","I","35,306","6,390"
"06/02/2017","1","O","39,353","7,197"
"06/01/2017","1","I","34,505","6,193"
"06/01/2017","1","O","38,600","6,562"
"05/31/2017","1","I","32,879","5,859"
"05/31/2017","1","O","36,698","6,319"
"05/30/2017","1","I","30,587","5,401"
"05/30/2017","1","O","37,929","6,365"
"05/29/2017","1","I","22,074","5,989"
"05/29/2017","1","O","29,463","6,649"
"05/28/2017","1","I","27,512","8,312"
"05/28/2017","1","O","29,185","8,515"
"05/27/2017","1","I","30,700","8,614"
"05/27/2017","1","O","28,498","8,039"
"05/26/2017","1","I","34,361","6,575"
"05/26/2017","1","O","34,886","7,011"
"05/25/2017","1","I","32,924","5,687"
"05/25/2017","1","O","37,051","6,073"
"05/24/2017","1","I","33,613","5,828"
"05/24/2017","1","O","38,361","6,489"
"05/23/2017","1","I","32,929","5,534"
"05/23/2017","1","O","40,160","6,671"
"05/22/2017","1","I","32,094","5,935"
"05/22/2017","1","O","36,439","6,424"
"05/21/2017","1","I","31,068","8,552"
"05/21/2017","1","O","33,686","8,745"
"05/20/2017","1","I","34,751","9,201"
"05/20/2017","1","O","34,253","8,970"
"05/19/2017","1","I","36,610","6,783"
"05/19/2017","1","O","37,095","7,145"
"05/18/2017","1","I","35,811","6,127"
"05/18/2017","1","O","36,111","6,164"
"05/17/2017","1","I","36,331","6,138"
"05/17/2017","1","O","36,824","6,277"
"05/16/2017","1","I","33,799","5,894"
"05/16/2017","1","O","35,678","5,892"
"05/15/2017","1","I","33,669","6,032"
"05/15/2017","1","O","35,353","6,424"
"05/14/2017","1","I","31,206","8,165"
"05/14/2017","1","O","31,992","7,920"
"05/13/2017","1","I","27,302","6,880"
"05/13/2017","1","O","29,301","7,581"
"05/12/2017","1","I","36,775","6,714"
"05/12/2017","1","O","35,337","6,643"
"05/11/2017","1","I","36,411","6,214"
"05/11/2017","1","O","38,871","6,460"
"05/10/2017","1","I","34,729","5,796"
"05/10/2017","1","O","39,930","6,460"
"05/09/2017","1","I","34,474","5,873"
"05/09/2017","1","O","38,324","6,356"
"05/08/2017","1","I","31,909","5,762"
"05/08/2017","1","O","36,139","6,334"
"05/07/2017","1","I","30,040","7,784"
"05/07/2017","1","O","31,621","7,979"
"05/06/2017","1","I","30,425","7,210"
"05/06/2017","1","O","33,307","8,287"
"05/05/2017","1","I","33,296","6,098"
"05/05/2017","1","O","37,891","7,164"
"05/04/2017","1","I","35,573","6,086"
"05/04/2017","1","O","38,766","6,640"
"05/03/2017","1","I","34,789","6,024"
"05/03/2017","1","O","39,669","6,711"
"05/02/2017","1","I","34,079","6,007"
"05/02/2017","1","O","39,347","6,615"
"05/01/2017","1","I","33,185","6,263"
"05/01/2017","1","O","36,423","6,469"
"04/30/2017","1","I","27,271","7,586"
"04/30/2017","1","O","31,516","7,957"
"04/29/2017","1","I","30,993","8,167"
"04/29/2017","1","O","27,951","7,736"
"04/28/2017","1","I","34,787","6,621"
"04/28/2017","1","O","36,301","6,928"
"04/27/2017","1","I","33,013","5,906"
"04/27/2017","1","O","33,244","5,820"
"04/26/2017","1","I","33,985","5,982"
"04/26/2017","1","O","33,585","5,799"
"04/25/2017","1","I","30,768","5,420"
"04/25/2017","1","O","34,118","5,715"
"04/24/2017","1","I","32,928","6,148"
"04/24/2017","1","O","34,272","6,439"
"04/23/2017","1","I","29,006","7,901"
"04/23/2017","1","O","31,891","8,213"
"04/22/2017","1","I","33,159","8,773"
"04/22/2017","1","O","28,212","7,596"
"04/21/2017","1","I","33,233","6,422"
"04/21/2017","1","O","37,863","7,256"
"04/20/2017","1","I","33,830","6,000"
"04/20/2017","1","O","36,832","6,413"
"04/19/2017","1","I","30,426","5,306"
"04/19/2017","1","O","34,561","5,939"
"04/18/2017","1","I","32,445","6,119"
"04/18/2017","1","O","36,392","6,477"
"04/17/2017","1","I","31,647","6,623"
"04/17/2017","1","O","33,954","6,994"
"04/16/2017","1","I","26,836","7,672"
"04/16/2017","1","O","29,625","7,781"
"04/15/2017","1","I","26,366","7,082"
"04/15/2017","1","O","30,323","8,422"
"04/14/2017","1","I","31,555","6,711"
"04/14/2017","1","O","33,735","7,498"
"04/13/2017","1","I","34,080","6,478"
"04/13/2017","1","O","35,738","7,004"
"04/12/2017","1","I","32,489","6,543"
"04/12/2017","1","O","33,457","6,248"
"04/11/2017","1","I","31,971","6,248"
"04/11/2017","1","O","35,026","6,752"
"04/10/2017","1","I","31,831","6,379"
"04/10/2017","1","O","33,752","6,622"
"04/09/2017","1","I","27,135","7,463"
"04/09/2017","1","O","27,866","7,481"
"04/08/2017","1","I","30,787","8,175"
"04/08/2017","1","O","29,935","7,871"
"04/07/2017","1","I","34,390","6,615"
"04/07/2017","1","O","35,727","6,899"
"04/06/2017","1","I","32,092","5,835"
"04/06/2017","1","O","34,144","5,991"
"04/05/2017","1","I","33,414","6,159"
"04/05/2017","1","O","34,359","6,273"
"04/04/2017","1","I","31,226","5,893"
"04/04/2017","1","O","32,355","6,109"
"04/03/2017","1","I","31,580","5,960"
"04/03/2017","1","O","34,943","6,486"
"04/02/2017","1","I","25,652","7,430"
"04/02/2017","1","O","28,266","7,730"
"04/01/2017","1","I","27,319","7,454"
"04/01/2017","1","O","28,604","8,029"
"03/31/2017","1","I","30,745","6,085"
"03/31/2017","1","O","33,681","6,869"
"03/30/2017","1","I","30,593","5,725"
"03/30/2017","1","O","36,841","6,837"
"03/29/2017","1","I","32,835","5,942"
"03/29/2017","1","O","34,237","6,222"
"03/28/2017","1","I","31,318","5,510"
"03/28/2017","1","O","34,339","6,026"
